Covidence..,Study.ID,Title,Reviewer.Name,Does.the.study.include.a.socio.environmental.model.,Country...region.in.which.the.study.is.focused,Miscellaneous.Notes,Type.of.Model,Does.the.study.quantify.model.uncertainty.,How.does.this.model.quantify.uncertainty.,Does.the.model.uncertainty.approach.fall.into.any.of.the.following.categories.
94,Brugnach 2008,A broadened view on the role for models in natural resource management: Implications for model development,Reviewer2,No,,,,,,
94,Brugnach 2008,A broadened view on the role for models in natural resource management: Implications for model development,Consensus,No,,,,,,
93,Lu 2023,A Multi-Criteria Framework for Sustainability Evaluation of Hydrogen-Based Multi-Microgrid Systems under Triangular Intuitionistic Fuzzy Environment,Reviewer1,Yes,,,System dynamics model; Conceptual model (non-quantitative),Yes, Sensitivity analysis,
93,Lu 2023,A Multi-Criteria Framework for Sustainability Evaluation of Hydrogen-Based Multi-Microgrid Systems under Triangular Intuitionistic Fuzzy Environment,Reviewer2,Yes,The study did not mention any country/region of focus ,,Conceptual model (non-quantitative),Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
93,Lu 2023,A Multi-Criteria Framework for Sustainability Evaluation of Hydrogen-Based Multi-Microgrid Systems under Triangular Intuitionistic Fuzzy Environment,Consensus,Yes,The study did not mention any country/region of focus ,,Conceptual model (non-quantitative),Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
91,Neumann 2017,"Integrative analysis of the Lake Simcoe watershed (Ontario, Canada) as a socio-ecological system",Reviewer1,Yes,Canada,,Other: Self-Organizing Maps and Structural Equation Modeling (SEM),Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
91,Neumann 2017,"Integrative analysis of the Lake Simcoe watershed (Ontario, Canada) as a socio-ecological system",Reviewer2,Yes,"Ontario, Canada",,System dynamics model,No,Other: Does not quantify model uncertainty,Other: Does not quantify model uncertainty
91,Neumann 2017,"Integrative analysis of the Lake Simcoe watershed (Ontario, Canada) as a socio-ecological system",Consensus,Yes,Canada,,Other: Self-Organizing Maps and Structural Equation Modeling (SEM),Yes,Validation / cross-validation (using empirical data),Model specification; Spatial and temporal scale issues; Empirical data limitations
90,Andriantiatsaholiniaina 2004,Evaluating strategies for sustainable development: fuzzy logic reasoning and sensitivity analysis,Reviewer1,Yes,"Greece, USA",,Other: fuzzy logic model,Yes, Sensitivity analysis,Model specification
90,Andriantiatsaholiniaina 2004,Evaluating strategies for sustainable development: fuzzy logic reasoning and sensitivity analysis,Reviewer2,Yes,Greece and the USA used as examples,,Other: Fuzzy logic model applied to human-environment indicators to develop scenarios of sustainable development outcomes,Yes, Sensitivity analysis,Model specification
90,Andriantiatsaholiniaina 2004,Evaluating strategies for sustainable development: fuzzy logic reasoning and sensitivity analysis,Consensus,Yes,Greece and USA,,Other: fuzzy logic model,Yes, Sensitivity analysis,Model specification
89,Khan 2022,Modelling and techno-economic analysis of standalone SPV/Wind hybrid renewable energy system with lead-acid battery technology for rural applications,Reviewer1,Yes,India,,Other: A Matlab-based model to combine different models for developing multi-domain Hybrid Renewable Energy Systems ,Yes, Sensitivity analysis,Model specification
89,Khan 2022,Modelling and techno-economic analysis of standalone SPV/Wind hybrid renewable energy system with lead-acid battery technology for rural applications,Reviewer2,Yes,India,,Other: The authors defined a Hybrid Renewable Energy System model in MATLAB/SIMULINK,Yes, Sensitivity analysis,Model specification
89,Khan 2022,Modelling and techno-economic analysis of standalone SPV/Wind hybrid renewable energy system with lead-acid battery technology for rural applications,Consensus,Yes,India,,Other: The authors defined a Hybrid Renewable Energy System model in MATLAB/SIMULINK,Yes, Sensitivity analysis,Model specification
88,Stutz 2014,Modeling the Pre-Industrial Roots of Modern Super-Exponential Population Growth,Reviewer1,Yes,Worldwide,population growth model,System dynamics model,Yes, Sensitivity analysis,Model specification; Knowledge of the system
88,Stutz 2014,Modeling the Pre-Industrial Roots of Modern Super-Exponential Population Growth,Reviewer2,Yes,Global,,System dynamics model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
88,Stutz 2014,Modeling the Pre-Industrial Roots of Modern Super-Exponential Population Growth,Consensus,Yes,Global,population growth model,System dynamics model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
87,Memari 2021,Hybrid wind-municipal solid waste biomass power plant location selection considering waste collection problem: a case study,Reviewer1,Yes,Iran,,Conceptual model (non-quantitative),No,,
87,Memari 2021,Hybrid wind-municipal solid waste biomass power plant location selection considering waste collection problem: a case study,Reviewer2,Yes,Iran,,Other: Z-number Data Envelopment Analysis (DEA),Yes, Sensitivity analysis,Spatial and temporal scale issues
87,Memari 2021,Hybrid wind-municipal solid waste biomass power plant location selection considering waste collection problem: a case study,Consensus,Yes,Iran,,Conceptual model (non-quantitative); Other: Z-number Data Envelopment Analysis (DEA),Yes, Sensitivity analysis,Spatial and temporal scale issues
83,Batouli 2022,DyNet-LCCA: a simulation framework for dynamic network-level life- cycle cost analysis in evolving infrastructure systems,Reviewer1,Yes,USA (Miami Beach),,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
83,Batouli 2022,DyNet-LCCA: a simulation framework for dynamic network-level life- cycle cost analysis in evolving infrastructure systems,Reviewer2,Yes,USA,,Agent-based model,Yes,Validation / cross-validation (using empirical data),Model specification
83,Batouli 2022,DyNet-LCCA: a simulation framework for dynamic network-level life- cycle cost analysis in evolving infrastructure systems,Consensus,Yes,USA,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
81,MacAskill 2021,Examining green affordable housing policy outcomes in Australia: A systems approach,Reviewer1,Yes,Austrialia,,System dynamics model,Yes, Sensitivity analysis,Model specification
81,MacAskill 2021,Examining green affordable housing policy outcomes in Australia: A systems approach,Reviewer2,Yes,Australia,,System dynamics model,Yes, Sensitivity analysis,Other: Changes in input data
81,MacAskill 2021,Examining green affordable housing policy outcomes in Australia: A systems approach,Consensus,Yes,Australia,,System dynamics model,Yes, Sensitivity analysis,Model specification
80,Blake 2018,A deconvolutional Bayesian mixing model approach for river basin sediment source apportionment,Reviewer1,No,,,,,,
80,Blake 2018,A deconvolutional Bayesian mixing model approach for river basin sediment source apportionment,Reviewer2,Yes,The south west of England and the mid-hills of Nepal,,Other: Deconvolutional Bayesian mixing model,Yes, Sensitivity analysis,Spatial and temporal scale issues; Empirical data limitations
80,Blake 2018,A deconvolutional Bayesian mixing model approach for river basin sediment source apportionment,Consensus,No,,,,Other: ,,
79,Stineman 2001,"Defining the population, treatments, and outcomes of interest - Reconciling the rules of biology with meaningfulness",Reviewer1,Yes,,,Conceptual model (non-quantitative),No,,
79,Stineman 2001,"Defining the population, treatments, and outcomes of interest - Reconciling the rules of biology with meaningfulness",Reviewer2,Yes,"N/A, hypothetical patients",,Conceptual model (non-quantitative),No,,
79,Stineman 2001,"Defining the population, treatments, and outcomes of interest - Reconciling the rules of biology with meaningfulness",Consensus,Yes,"N/A, hypothetical patients",,Conceptual model (non-quantitative),No,,
78,LoPiano 2022,Unpacking the modelling process via sensitivity auditing,Reviewer1,Yes,mixed,,System dynamics model; Conceptual model (non-quantitative),Yes,Other: Sensitivity audit,Model specification
78,LoPiano 2022,Unpacking the modelling process via sensitivity auditing,Reviewer2,No,,,,,,
78,LoPiano 2022,Unpacking the modelling process via sensitivity auditing,Consensus,No,Various,More of a summary/perspectives paper,,Other: ,,
77,Polsky 2001,Adaptation to climate variability and change in the US Great Plains: A multi-scale analysis of Ricardian climate sensitivities,Reviewer1,Yes,US Great Plains,,System dynamics model,Yes, Sensitivity analysis,Model specification; Spatial and temporal scale issues
77,Polsky 2001,Adaptation to climate variability and change in the US Great Plains: A multi-scale analysis of Ricardian climate sensitivities,Reviewer2,Yes,USA,,Other: Multi-level regression model,Yes,Sensitivity analysis using factorial design,Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
77,Polsky 2001,Adaptation to climate variability and change in the US Great Plains: A multi-scale analysis of Ricardian climate sensitivities,Consensus,Yes,USA,,Other: Multi-level regression model,Yes, Sensitivity analysis,Model specification; Spatial and temporal scale issues
76,Colovic 2021,A network design tool for railway electrification considering the environmental impact,Reviewer1,Yes,Italy,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system
76,Colovic 2021,A network design tool for railway electrification considering the environmental impact,Reviewer2,Yes,"Salento, Italy",railway network electrification design model,System dynamics model; Other: linear programming,Yes, Sensitivity analysis,Knowledge of the system
76,Colovic 2021,A network design tool for railway electrification considering the environmental impact,Consensus,Yes,Italy,railway network electrification design model,System dynamics model; Other: linear programming,Yes, Sensitivity analysis,Knowledge of the system
73,Marohn 2013,A software coupling approach to assess low-cost soil conservation strategies for highland agriculture in Vietnam,Reviewer1,Yes,Vietnam,,Agent-based model,Yes,Validation / cross-validation (using empirical data),Spatial and temporal scale issues; Empirical data limitations
73,Marohn 2013,A software coupling approach to assess low-cost soil conservation strategies for highland agriculture in Vietnam,Reviewer2,Yes,Vietnam,,Agent-based model,Yes, Sensitivity analysis,Empirical data limitations
73,Marohn 2013,A software coupling approach to assess low-cost soil conservation strategies for highland agriculture in Vietnam,Consensus,Yes,Vietnam,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Spatial and temporal scale issues; Empirical data limitations
72,Rocchi 2021,Sustainability of Rearing System Using Multicriteria Analysis: Application in Commercial Poultry Production,Reviewer1,No,central Italy,,,,,
72,Rocchi 2021,Sustainability of Rearing System Using Multicriteria Analysis: Application in Commercial Poultry Production,Reviewer2,Yes,Italy,,Other:  Multicriteria Analysis,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
72,Rocchi 2021,Sustainability of Rearing System Using Multicriteria Analysis: Application in Commercial Poultry Production,Consensus,Yes,Italy,,Other:  Multicriteria Analysis,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
71,Viana 2022,Multidimensional risk assessment and categorization of hydrogen pipelines,Reviewer1,Yes,Brazil,,Other: ELECTRE TRI? Please check Fig.1,Yes, Sensitivity analysis; Other: Probabilistic modeling,Model specification; Knowledge of the system; Computing limitations; Empirical data limitations
71,Viana 2022,Multidimensional risk assessment and categorization of hydrogen pipelines,Reviewer2,Yes,not specify,,Other: Multidimensional Risk Assessment and Categorization model,Yes,"Other: consequence function, which is the probability functions are assigned to represent the magnitude of consequences, ",Knowledge of the system
71,Viana 2022,Multidimensional risk assessment and categorization of hydrogen pipelines,Consensus,Yes,,,Other: Multidimensional Risk Assessment and Categorization model,Yes," Sensitivity analysis; Other: consequence function, which is the probability functions are assigned to represent the magnitude of consequences",Model specification; Knowledge of the system; Computing limitations; Empirical data limitations
69,Celino 2011,Explorative Nature of Negotiation in Participatory Decision Making for Sustainability,Reviewer1,Yes,"Torre Guaceto wetland, a Natural Reserve in
Southern Italy.",,Conceptual model (non-quantitative),No,,
69,Celino 2011,Explorative Nature of Negotiation in Participatory Decision Making for Sustainability,Reviewer2,Yes,Italy,,Conceptual model (non-quantitative),No,,
69,Celino 2011,Explorative Nature of Negotiation in Participatory Decision Making for Sustainability,Consensus,Yes,Italy,,Conceptual model (non-quantitative),No,,
68,Liu 2021,"Dynamics of local impacts in low-carbon transition: Agent-based modeling of lithium mining-community-aquifer interactions in Salar de Atacama, Chile",Reviewer1,Yes,"Salar de Atacama, Chile",,Agent-based model,No,,
68,Liu 2021,"Dynamics of local impacts in low-carbon transition: Agent-based modeling of lithium mining-community-aquifer interactions in Salar de Atacama, Chile",Reviewer2,Yes,"Salar de Atacama, Chile",,Agent-based model,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
68,Liu 2021,"Dynamics of local impacts in low-carbon transition: Agent-based modeling of lithium mining-community-aquifer interactions in Salar de Atacama, Chile",Consensus,Yes,"Salar de Atacama, Chile",,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
63,Asamoah 2020,Global stability and cost-effectiveness analysis of COVID-19 considering the impact of the environment: using data from Ghana,Reviewer1,Yes,Ghana,"Don't specifically name the type of model, just that it is deterministic ",Other,,Validation / cross-validation (using empirical data);  Sensitivity analysis,
63,Asamoah 2020,Global stability and cost-effectiveness analysis of COVID-19 considering the impact of the environment: using data from Ghana,Reviewer2,Yes,,,Other: Compartmental / mathematical model for virus transmission,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
63,Asamoah 2020,Global stability and cost-effectiveness analysis of COVID-19 considering the impact of the environment: using data from Ghana,Consensus,Yes,Ghana,Deterministic model,Other,Other: yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
60,Krol 2007,Regional integrated modelling of climate change impacts on natural resources and resource usage in semi-arid Northeast Brazil,Reviewer1,Yes,Brazil,,Other: Integrated modeling,Yes,Validation / cross-validation (using empirical data),Model specification
60,Krol 2007,Regional integrated modelling of climate change impacts on natural resources and resource usage in semi-arid Northeast Brazil,Reviewer2,Yes,Northeast Brazil,,System dynamics model,Yes,Validation / cross-validation (using empirical data),Knowledge of the system
60,Krol 2007,Regional integrated modelling of climate change impacts on natural resources and resource usage in semi-arid Northeast Brazil,Consensus,Yes,Brazil,,System dynamics model; Other: Integrated modeling,Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system
55,Polsky 2004,"Putting space and time in Ricardian climate change impact studies: Agriculture in the US Great Plains, 1969-1992",Reviewer1,Yes,USA,,Other: Spatial econometric models,Yes,Other: Estimation of statistical errors,Model specification; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
55,Polsky 2004,"Putting space and time in Ricardian climate change impact studies: Agriculture in the US Great Plains, 1969-1992",Reviewer2,Yes,United States,,Other: spatial econometric models,No,,
55,Polsky 2004,"Putting space and time in Ricardian climate change impact studies: Agriculture in the US Great Plains, 1969-1992",Consensus,Yes,USA,,Other: Spatial econometric models,Yes,Other,Model specification; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
54,Deroliya 2022,A novel flood risk mapping approach with machine learning considering geomorphic and socio-economic vulnerability dimensions,Reviewer1,Yes,India,,System dynamics model,,Validation / cross-validation (using empirical data),Model specification
54,Deroliya 2022,A novel flood risk mapping approach with machine learning considering geomorphic and socio-economic vulnerability dimensions,Reviewer2,Yes,India,flood risk mapping framework,Other: machine learning models,Yes,Validation / cross-validation (using empirical data),Model specification
54,Deroliya 2022,A novel flood risk mapping approach with machine learning considering geomorphic and socio-economic vulnerability dimensions,Consensus,Yes,India,flood risk mapping framework,Other,Yes,Validation / cross-validation (using empirical data),Model specification
53,Lepper 2022,The Role of the Environment in Dynamics of Antibiotic Resistance in Humans and Animals: A Modelling Study,Reviewer1,Yes,unspecified,,Other: No uncertainty quantification,,Other: No uncertainty quantification,Other: No uncertainty quantification
53,Lepper 2022,The Role of the Environment in Dynamics of Antibiotic Resistance in Humans and Animals: A Modelling Study,Reviewer2,Yes,N/A non-location specific,,System dynamics model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
53,Lepper 2022,The Role of the Environment in Dynamics of Antibiotic Resistance in Humans and Animals: A Modelling Study,Consensus,Yes,unspecified,Epidemiological model,System dynamics model; Other: Epidemiological model,Yes, Sensitivity analysis,Model specification; Spatial and temporal scale issues; Empirical data limitations
52,Letourneau 2012,A land-use systems approach to represent land-use dynamics at continental and global scales,Reviewer1,Yes,Global,,System dynamics model; Conceptual model (non-quantitative),Yes,Other,Empirical data limitations
52,Letourneau 2012,A land-use systems approach to represent land-use dynamics at continental and global scales,Reviewer2,Yes,global,,Conceptual model (non-quantitative),No,,
52,Letourneau 2012,A land-use systems approach to represent land-use dynamics at continental and global scales,Consensus,Yes,Global,,System dynamics model; Conceptual model (non-quantitative),No,,Empirical data limitations
51,Yang 2020,Patch-based cellular automata model of urban growth simulation: Integrating feedback between quantitative composition and spatial configuration,Reviewer1,Yes,"Ezhou City, Hubei Province, China",,System dynamics model,Yes,Other: Monte Carlo simulation,Spatial dependence & heterogeneity issues
51,Yang 2020,Patch-based cellular automata model of urban growth simulation: Integrating feedback between quantitative composition and spatial configuration,Reviewer2,Yes,China,,Other: Cellular Automata,,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
51,Yang 2020,Patch-based cellular automata model of urban growth simulation: Integrating feedback between quantitative composition and spatial configuration,Consensus,Yes,China,CA model counts as ABM?,System dynamics model; Other: Cellular Automata,Yes,Validation / cross-validation (using empirical data); Other: Monte Carlo simulation,Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
45,Williams 2020,Assessing model equifinality for robust policy analysis in complex socio-environmental systems,Reviewer1,Yes,Ethiopia ,,Agent-based model,, Sensitivity analysis; Other: Equifinality ,Model specification
45,Williams 2020,Assessing model equifinality for robust policy analysis in complex socio-environmental systems,Reviewer2,Yes,Ethiopia,,Agent-based model,Yes, Sensitivity analysis,Model specification
45,Williams 2020,Assessing model equifinality for robust policy analysis in complex socio-environmental systems,Consensus,Yes,Ethiopia,,Agent-based model,Yes, Sensitivity analysis,Model specification
43,Zhan 2023,High-resolution livestock seasonal distribution data on the Qinghai-Tibet Plateau in 2020,Reviewer1,Yes,China,,Biophysical model; Other: Machine learning (random forest),Yes,Validation / cross-validation (using empirical data),Model specification
43,Zhan 2023,High-resolution livestock seasonal distribution data on the Qinghai-Tibet Plateau in 2020,Reviewer2,Yes,China,,Other: Machine learning model: .RandomForestRegress,No,,
43,Zhan 2023,High-resolution livestock seasonal distribution data on the Qinghai-Tibet Plateau in 2020,Consensus,Yes,China,consider GLW3 a biophysical model?,Biophysical model; Other: Machine learning (random forest),Yes,Validation / cross-validation (using empirical data),Model specification
42,Cabello 2015,River basins as social-ecological systems: linking levels of societal and ecosystem water metabolism in a semiarid watershed,Reviewer1,No,Upper Andarax Watershed (Spain) ,Consisted of two distinct models for eco-hydrology and societal accounting,,,,
42,Cabello 2015,River basins as social-ecological systems: linking levels of societal and ecosystem water metabolism in a semiarid watershed,Reviewer2,,Spain,,System dynamics model; Biophysical model,,Validation / cross-validation (using empirical data),Empirical data limitations
42,Cabello 2015,River basins as social-ecological systems: linking levels of societal and ecosystem water metabolism in a semiarid watershed,Consensus,Yes,Upper Andarax Watershed (Spain) ,,System dynamics model; Biophysical model,,Validation / cross-validation (using empirical data),Empirical data limitations
40,Elsawah 2020,Scenario processes for socio-environmental systems analysis of futures: A review of recent efforts and a salient research agenda for supporting decision making,Reviewer1,Yes,This is a survey paper.,,Other: This is a survey paper.,No,Other: This is a survey paper.,Other: This is a survey paper.
40,Elsawah 2020,Scenario processes for socio-environmental systems analysis of futures: A review of recent efforts and a salient research agenda for supporting decision making,Reviewer2,No,,,,,,
40,Elsawah 2020,Scenario processes for socio-environmental systems analysis of futures: A review of recent efforts and a salient research agenda for supporting decision making,Consensus,No,,,,No,,
39,Wang 2020,Emergence of urban clustering among US cities under environmental stressors,Reviewer1,No,USA,,,,,
39,Wang 2020,Emergence of urban clustering among US cities under environmental stressors,Reviewer2,Yes,US,,System dynamics model; Biophysical model; Conceptual model (non-quantitative),Yes, Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
39,Wang 2020,Emergence of urban clustering among US cities under environmental stressors,Consensus,No,USA,,,Other: ,,
37,Lee 2019,Dimension reduction of multivariate outputs of socio-environmental agent-based models,Reviewer1,Yes,US,,Agent-based model,Yes, Sensitivity analysis,Model specification; Spatial and temporal scale issues; Empirical data limitations
37,Lee 2019,Dimension reduction of multivariate outputs of socio-environmental agent-based models,Reviewer2,Yes,US,,Agent-based model,Yes, Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
37,Lee 2019,Dimension reduction of multivariate outputs of socio-environmental agent-based models,Consensus,Yes,US,,Agent-based model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
36,Liu 2013,Simulating the Conversion of Rural Settlements to Town Land Based on Multi-Agent Systems and Cellular Automata,Reviewer1,Yes,Towns in Chinas,,System dynamics model,No,,
36,Liu 2013,Simulating the Conversion of Rural Settlements to Town Land Based on Multi-Agent Systems and Cellular Automata,Reviewer2,Yes,China,,Agent-based model,,Other: Compared to pre-existing model,Model specification
36,Liu 2013,Simulating the Conversion of Rural Settlements to Town Land Based on Multi-Agent Systems and Cellular Automata,Consensus,Yes,China,"""We
simulated the town expansion from 2005 to 2010 in the three
towns and compared the actual 2010 results with the simulated
2010 results to validate the accuracy of the simulation.""",Agent-based model,Yes,Validation / cross-validation (using empirical data); Other: Compared to pre-existing model,Model specification; Empirical data limitations
35,Villamor 2013,Validating human decision making in an agent-based land-use model,Reviewer1,Yes,"Three villages Lubuk Beringin, Laman Panjang, and Desa Buat located in Jambi Province (Sumatra), Indonesia",,Agent-based model,No,,
35,Villamor 2013,Validating human decision making in an agent-based land-use model,Reviewer2,Yes,Indonesia,,Agent-based model,Yes,"Validation / cross-validation (using empirical data); Other: surveys, RPGs",Model specification; Knowledge of the system; Empirical data limitations
35,Villamor 2013,Validating human decision making in an agent-based land-use model,Consensus,Yes,Indonesia,,Agent-based model,No,"Validation / cross-validation (using empirical data); Other: surveys, RPGs",Model specification; Knowledge of the system; Empirical data limitations
32,Zhijun 2022,Sustainable Tourism Supply Chain Assessment Using Hybrid Decision-Making Methods under Fuzzy Uncertainty,Reviewer1,Yes,Taiwan,,Other: The Service Preference model combined with Fuzzy-AHP and VIKOR method,No,,
32,Zhijun 2022,Sustainable Tourism Supply Chain Assessment Using Hybrid Decision-Making Methods under Fuzzy Uncertainty,Reviewer2,Yes,China,,Conceptual model (non-quantitative),No,,
32,Zhijun 2022,Sustainable Tourism Supply Chain Assessment Using Hybrid Decision-Making Methods under Fuzzy Uncertainty,Consensus,Yes,Taiwan,,Conceptual model (non-quantitative),No,,
31,Zhang 2016,A Stochastic ANP-GCE Approach for Vulnerability Assessment in the Water Supply System With Uncertainties,Reviewer1,Yes,China,,Other: network model (analytical network process with game cross evaluation (ANP-GCE)),Yes, Sensitivity analysis; Sensitivity analysis using factorial design,Model specification; Spatial and temporal scale issues; Empirical data limitations
31,Zhang 2016,A Stochastic ANP-GCE Approach for Vulnerability Assessment in the Water Supply System With Uncertainties,Reviewer2,Yes,China,The study focuses on the cities of Shanghai as a case study,Other: A multi-criteria decision-making approach for vulnerability assessment,Yes, Sensitivity analysis,Model specification
31,Zhang 2016,A Stochastic ANP-GCE Approach for Vulnerability Assessment in the Water Supply System With Uncertainties,Consensus,Yes,China,Focus on Shanghai as case study,Other: A multi-criteria decision-making approach for vulnerability assessment using network modeling (ANP-GCE),Yes, Sensitivity analysis; Sensitivity analysis using factorial design,Model specification; Empirical data limitations
30,Plag 2020,A goal-based approach to the identification of essential transformation variables in support of the implementation of the 2030 agenda for sustainable development,Reviewer1,No,,Describes models that can be used to advance SDG's but does not use any in particular,,,,
30,Plag 2020,A goal-based approach to the identification of essential transformation variables in support of the implementation of the 2030 agenda for sustainable development,Reviewer2,No,No specific region,,Other: Does not include a model,No,Other: Does not include a model,Other: Does not include a model
30,Plag 2020,A goal-based approach to the identification of essential transformation variables in support of the implementation of the 2030 agenda for sustainable development,Consensus,No,No specific region,Describes models that can be used to advance SDG's but does not use any in particular,Other: Does not include a model,No,Other: Does not include a model,Other: Does not include a model
28,Saqalli 2014,"Revisiting and modelling the woodland farming system of the early Neolithic Linear Pottery Culture (LBK), 5600-4900 BC",Reviewer1,Yes,Europe,"Not the typical SES model, this is from the journal ""Vegetation history and archaeobotany"" ","System dynamics model; Other: They call it a ""conceptual model"" in the conclusion but it does use quantitative data",No,,
28,Saqalli 2014,"Revisiting and modelling the woodland farming system of the early Neolithic Linear Pottery Culture (LBK), 5600-4900 BC",Reviewer2,Yes,temperate Europe,,Agent-based model,No,,
28,Saqalli 2014,"Revisiting and modelling the woodland farming system of the early Neolithic Linear Pottery Culture (LBK), 5600-4900 BC",Consensus,Yes,Europe,,System dynamics model,No,,
27,Hoberg 2017,Irreversibility and uncertainty cause an intergenerational equity-efficiency trade-off,Reviewer1,Yes,,,Other: two-non-overlapping-generations model,No,,
27,Hoberg 2017,Irreversibility and uncertainty cause an intergenerational equity-efficiency trade-off,Reviewer2,Yes,,,System dynamics model,Yes, Sensitivity analysis,Other: Uncertainty of the future (and how you should make decisions in the face of such uncertainty)
27,Hoberg 2017,Irreversibility and uncertainty cause an intergenerational equity-efficiency trade-off,Consensus,Yes,,,System dynamics model,No,,
24,Song 2024,Mapping the Unheard: Analyzing Tradeoffs Between Fisheries and Offshore Wind Farms Using Multicriteria Decision Analysis,Reviewer1,Yes,California,,"Other: Three multicriteria decision models: weighted aggregated sum product assessment, technique for order of preference by similarity to ideal solution, analytical hierarchy process",No,,
24,Song 2024,Mapping the Unheard: Analyzing Tradeoffs Between Fisheries and Offshore Wind Farms Using Multicriteria Decision Analysis,Reviewer2,Yes,United States,,Other: Multicriteria Decision Analysis (MCDA) model,Yes, Sensitivity analysis,Model specification
24,Song 2024,Mapping the Unheard: Analyzing Tradeoffs Between Fisheries and Offshore Wind Farms Using Multicriteria Decision Analysis,Consensus,Yes,United States,,"Other: Three multicriteria decision models: weighted aggregated sum product assessment, technique for order of preference by similarity to ideal solution, analytical hierarchy process",Yes, Sensitivity analysis,Model specification
20,Iwanaga 2021,Socio-technical scales in socio-environmental modeling: Managing a system-of-systems modeling approach,Reviewer1,No,,,,,,
20,Iwanaga 2021,Socio-technical scales in socio-environmental modeling: Managing a system-of-systems modeling approach,Reviewer2,No,,,,,,
20,Iwanaga 2021,Socio-technical scales in socio-environmental modeling: Managing a system-of-systems modeling approach,Consensus,No,,,,,,
19,Student 2020,Simulating emerging coastal tourism vulnerabilities: an agent-based modelling approach,Reviewer1,Yes,Curacao,,Agent-based model,Yes, Sensitivity analysis,Empirical data limitations
19,Student 2020,Simulating emerging coastal tourism vulnerabilities: an agent-based modelling approach,Reviewer2,Yes,Curaçao,,Agent-based model,Yes, Sensitivity analysis,Model specification
19,Student 2020,Simulating emerging coastal tourism vulnerabilities: an agent-based modelling approach,Consensus,Yes,Curaçao,,Agent-based model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
18,Goldspiel 2023,Snapshots of Nature-Based Recreation Across Rural Landscapes: Insights from Geotagged Photographs in the Northeastern United States,Reviewer1,No,"Northern Forest, northeastern US",,,,,
18,Goldspiel 2023,Snapshots of Nature-Based Recreation Across Rural Landscapes: Insights from Geotagged Photographs in the Northeastern United States,Reviewer2,Yes,US,,Other: Figure recognizes model - Clarifai's General model,Yes,Validation / cross-validation (using empirical data),Knowledge of the system; Spatial and temporal scale issues
18,Goldspiel 2023,Snapshots of Nature-Based Recreation Across Rural Landscapes: Insights from Geotagged Photographs in the Northeastern United States,Consensus,Yes,US,,Other: Clarifai's General model (neural network) ,Yes,Validation / cross-validation (using empirical data),Knowledge of the system; Spatial and temporal scale issues
16,Fang 2018,"Data Descriptor: High-resolution reconstruction of the United States human population distribution, 1790 to 2010",Reviewer1,Yes,Global,,Other: population distribution models,Yes,Validation / cross-validation (using empirical data),Model specification; Empirical data limitations
16,Fang 2018,"Data Descriptor: High-resolution reconstruction of the United States human population distribution, 1790 to 2010",Reviewer2,Yes,USA,,Agent-based model,Yes,Validation / cross-validation (using empirical data),Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
16,Fang 2018,"Data Descriptor: High-resolution reconstruction of the United States human population distribution, 1790 to 2010",Consensus,Yes,USA,,Other: parsimonious population models,Yes,Validation / cross-validation (using empirical data),Model specification; Empirical data limitations
